門市名稱,門市網址,門市地址,門市電話,營業時間
富農門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=519,台南市東區裕農路766號,036-3317533,"假日:9-23
平日:9-23"
惠德門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=518,南投縣草屯鎮太平路二段240.242號,049-2306517,"假日:10-22
平日:10-22"
竹東門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=517,新竹縣竹東鎮長春路三段34號1、2樓,03-5100865,"平日:09:00-22:00
假日:09:00-22:00"
森北門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=516,台北市中山區林森北路426號,02-25678783,"平日:10:00-22:00
假日:10:00-22:00"
101門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=515,台北市信義區信義路五段7號B1,02-81017701,"週一~週六:08:30-22:00
週日:10:00-22:00"
五甲藥局,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=514,高雄市鳳山區五甲二路754號1、2樓,07-8121586,"平日10:00-23:00
假日10:00-23:00"
永興門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=513,新北市中和區中和路412號1、2樓,02-29212516,"平日09:00-23:00
假日09:00-23:00"
松安門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=512,台中市西屯區松竹路二段172號,04-22476137,"平日09:00-23:00
假日09:00-23:00"
超越門市(新光三越B2),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=511,台中市西屯區台灣大道三段301號B2,04-22549441,"平日11:00-22:00
假日11:00-22:00"
美新門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=510,新北市新店區中正路213號,02-29131587,"平日08:00-23:00
假日08:00-23:00"
溪湖藥局,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=509,彰化縣溪湖鎮西環路365號,04-8818617,"平日9:00~22:00
假日9:00~22:00"
西門門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=508,台北市萬華區西寧南路60號,02-23617537,"平日: 10:00-23:00
假日(週五~六): 10:00-24:00"
東英門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=507,台中市東區十甲路450號,04-22139034,09:00-23:00
新苗栗門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=506,苗栗縣苗栗市光復路24.26號,037-372463,"平日 09:00-22:30
假日 09:00-22:30"
美港門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=505,高雄市苓雅區三多四路106號,07-2693055,"平日 09:00-24:00
假日 09:00-24:00"
新仁一門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=499,基隆市仁愛區仁一路165號1樓、165之1號1樓、167號1樓,02-24259138,"平日0900-2300
假日0900-2300"
新麗林門市(1.2樓),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=498,新北市林口區竹林路46號,02-86012468,"平日0900-2300
假日0900-2300"
文大門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=497,台北市士林區華岡路55號(大忠館),02-28623563,"週一~週五:08:00-22:00
週六週日:不營業"
大安門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=496,台北市大安區信義路四段54號,02-27080127,"平日0800-2300
假日0800-2300"
八德門市(1.2樓),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=495,桃園市八德區介壽路一段836、838號,03-3611446,"平日0900-2230
假日0900-2230"
北車門市(B3),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=494,台北市中正區忠孝西路一段49號,02-23117477,"平日0700-2300
假日0700-2300"
新延和門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=493,新北市土城區立德路105號,02-22645952,"平日0900-2300
假日0900-2300"
員大門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=492,彰化縣員林鎮大同路一段455號,04-8338106,"平日0900-2200
假日0900-2200"
新中福門市(1.2樓),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=491,桃園市中壢區中正路104號,03-4252461,"平日 0930-2230
假日 0930-2230"
新竹南門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=490,苗栗縣竹南鎮延平路105號,037-461424,"平日 0900-2230
假日 0900-2230"
長樂門市(B1),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=489,基隆市安樂區安樂路二段164號,02-24319748,"平日 0900-2300
假日 1000-2300"
嘉南門市(1.2樓),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=488,嘉義市東區吳鳳南路360號,05-2308509,"平日 1000-2200
假日 1000-2200"
安和門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=487,台北市大安區信義路四段261號,02-27083614,"平日 0800-2300
假日 0800-2300"
麗山門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=486,台北市內湖區內湖路一段419號,02-26271465,"平日 0800-2300
假日 0900-2300"
漢中門市(1.2.3樓),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=485,台北市萬華區漢中街47號,02-23815329,"週一~週四、周日1000-24
周五、周六1000-0100"
大成門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=484,桃園市楊梅區大成路68號,03-4883401,"平日 0900-2300
假日 0900-2300"
民雄門市(1.2樓),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=483,嘉義縣民雄鄉中樂村昇平路36號,05-2267170,"平日 0900-2200
假日 0900-2200"
華榮門市(1.2樓),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=482,高雄市鼓山區華榮路203號,07-5524957,"平日 1000-2300
假日 0900-2300"
東門門市(B1),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=481,台北市大安區信義路2段166號,02-23518212,"平日 0800-2300
假日 0800-2300"
桃府門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=480,桃園市桃園區縣府路306號,03-3368901,"平日 0900-2300
假日 0900-2300"
新福門市(1.2樓),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=479,台中市太平區中山路4段129號,04-23952540,"平日 1000-2300
假日 1000-2300"
饒河門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=478,台北市松山區饒河街247號,02-27489583,"平日 1300-0100
假日 1300-0100"
新海山門市(1.2樓),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=476,新北市土城區裕民路86號,02-22646815,"平日 0900-2300
假日 0800-2300"
新鶯歌門市(1.2樓),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=475,新北市鶯歌區建國路226號,02-26798406,"平日 0800-2300
假日 0800-2300"
風采門市(1.2.3樓),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=474,台北市中正區延平南路103號,02-23701411,"平日 0800-2300
假日 0800-2300"
一中門市(1.2.3樓),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=473,台中市北區一中街31號,04-22255016,"平日 1100-2300
假日 1100-2300"
南西門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=472,台北市大同區南京西路316號,02-25491678,"平日 0900-2300
假日 0900-2300"
新黎明門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=471,台中市南屯區黎明路二段425號,04-22511907,"平日 1000-2300
假日 1000-2300"
昌平門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=470,新北市新莊區中原路139號,02-29900832,"平日 0900-2300
假日 0900-2300"
左冠門市(2F),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=469,高雄市左營區站前北路1號,07-5883632,"平日 1100-2130
假日 1100-2200"
新大甲門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=468,台中市大甲區順天里3鄰蔣公路136號,04-26801077,"平日 1000-2230
假日 0900-2230"
新中友門市(B棟B2),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=467,台中市北區三民路三段161號,04-22290796,"平日 1100-2200
假日 1030-2200"
博華門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=466,高雄市鼓山區博愛二路343號,07-5539485,"平日 0900-2300
假日 0900-2300"
百成門市(B2),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=465,台南市東區前鋒路210號,06-2087091,"平日 1100-2200
假日 1100-2200"
新連城門市(1.2樓),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=464,新北市中和區連城路353號,02-22235901,"平日 0900-2300
假日 0900-2300"
高榮門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=463,高雄市左營區榮總路181號,07-3509473,"平日 0830-2230
假日 0830-2230"
花博門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=462,台北市大同區酒泉街39號,02-25956848,"平日 0800-2300
假日 0900-2300"
藝文門市(1.2樓),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=461,桃園市桃園區中正路1063號,03-3259756,"平日 0900-2300
假日 0800-2330"
芝山門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=460,台北市士林區福華路164巷6號,02-28347494,"平日 0800-2330
假日 0900-2330"
歸仁門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=459,台南市歸仁區民權北路35號,06-2308648,"平日 0900-2300
假日 0900-2300"
新后里門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=458,台中市后里區甲后路一段539號,04-25584033,"平日0900-2200
假日0900-2200"
新大坪門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=457,新北市新店區民權路17號,02-89145984,"平日0800-2300
假日0800-2300"
新大墩門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=456,台中市西屯區大墩路907.909號,04-23268921,"平日0900-2300
假日0900-2300"
興大門市(1.2樓),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=455,台中市南區學府路48號,04-22856236,"平日10:00-23:00
假日10:00-23:00"
泰山門市(1.2樓),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=454,新北市泰山區泰林路二段189號,02-85314804,"平日0900-2300
假日0900-2300"
未來門市(1.2樓),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=453,新北市林口區仁愛路二段516號,02-26015847,"平日0900-2300
假日0900-2300"
漢寧門市(1樓右邊部份),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=452,台北市中正區漢口街一段3、5、9、11號,02-23120975,"平日 0800-2330
假日 0800-2330"
美景門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=451,高雄市鼓山區美術東二路5號,07-5526443,"平日0900-2300
假日0900-2300"
健行門市(1.2樓),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=450,台中市西區健行路1042號,04-23231067,"平日 0900-2330
假日 0900-2330"
深坑門市(1.2樓),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=449,新北市深坑區北深路3段249號,02-26628644,"平日0800-2300
假日0800-2300"
蘆竹門市(1.2樓),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=448,桃園市蘆竹區中山路42號,03-3114672,"平日0900-2300
假日0900-2300"
長榮門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=446,新北市蘆洲區長榮路418號,02-82860546,"平日0900-2300
假日0900-2300"
新雙連門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=445,台北市中山區民生西路23號,02-25117308,"平日0730-2330
假日0730-2330"
頂運門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=444,新北市永和區永和路二段116號,02-29294322,"平日 0800-2330
假日 0800-2330"
新大溪門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=443,桃園市大溪區慈湖路127號1樓,03-3882619,"平日0900-2300
假日0900-2300"
延吉門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=442,台北市大安區忠孝東路四段250號,02-87714448,"平日 0800-2330
假日 0900-2330"
歐風1號門市(1.2樓),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=441,新竹市東區關新路36號,03-5679335,"平日1000-2300
假日1000-2300"
竹站門市(B1),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=440,新竹市東區民族路2號,03-5247314,"平日1100-2130
週六1100-2200"
新龍騰門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=439,基隆市仁愛區愛四路78號,02-24276264,"平日1000-0100
假日1000-0100"
時尚1號(B1),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=438,高雄市前鎮區中華五路789號,07-8232897,"平日 1100-2200
假日 1030-2230"
新中山門市(B1),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=437,台南市中西區中山路162號,06-2228454,"平日1100-2200
假日1100-2200"
新天地門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=436,台南市中西區西門路一段658號B2,06-3030025,"平日1100-2200
假日1100-2200"
彩虹門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=435,高雄市左營區高鐵路115號,07-3450374,"平日1100-2200
假日1100-2200"
基河門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=434,台北市士林區基河路128號,02-28839403,"平日1000-2300
假日1000-2300"
喜來登門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=433,新竹縣竹北市十興里光明六路東一段241號,03-6577570,"平日 0900-2230
假日 0900-2230"
新尊吉門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=432,台北市北投區實踐街30號,02-28218193,"平日0900-2300
假日0900-2300"
新太平門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=431,台中市太平區中興路106、108號,04-23514920,"平日0900-2230
假日0900-2230"
清水門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=430,台中市清水區中山路106號,04-26221459,"平日 0900-2200
假日 0900-2200"
新泉源門市(1.2樓),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=429,台北市北投區中和街294號,02-28916207,"平日 0800-2300
假日 0800-2300"
新百中門市(10樓),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=428,台中市西屯區台灣大道三段251號,04-22548649,"平日 1100-2200
假日 1030-2200"
淡捷門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=427,新北市淡水區中正路1號,02-26227640,"平日 0800-2300
假日 0800-2330"
新統領門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=426,台北市大安區忠孝東路4段181巷6號,02-87710951,"平日 0900-2400
假日 0900-2400"
薇閣門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=425,台北市中山區敬業三路11號,02-85021684,"平日 0800-2330
假日 0800-2300"
新龍安門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=424,桃園市桃園區龍安街134號,03-3602109,"平日 0900-2300
假日 0900-2300"
武廟門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=423,高雄市苓雅區武廟路133-1號,07-7260449,"平日 0900-2300
假日 0900-2300"
美術東門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=421,高雄市鼓山區美術東五路66號,07-5526390,"平日 0900-2300
假日 0900-2300"
新佳里門市(1.2樓),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=420,台南市佳里區延平路233號,06-7233045,"平日 0900-2230
假日 0900-2230"
屏廣門市(1.2樓),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=418,屏東縣屏東市廣東路66號,08-7212502,"平日 0900-2230
假日 0900-2230"
南紡門市(B1),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=417,台南市東區東光里1鄰中華東路一段366號,06-2086010,"平日 1100-2200
假日 1100-2200"
松捷門市(B1(B3.B4)),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=416,台北市信義區松山路11號,02-27483828,"平日 0700-2300
假日 0700-2300"
新宜東門市(1.2.3.4樓),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=415,宜蘭縣羅東鎮興東路8-2號,03-9562708,"平日 0900-2300
假日 0900-2300"
忠勇門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=414,台中市南屯區忠勇路105-27號,04-23804497,"平日 0900-2300
假日 0900-2300"
新大庄門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=413,新竹市香山區大庄路39、41號,03-5399456,"平日 0900-2230
假日 0900-2230"
新虎林門市(1.2樓),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=412,台北市信義區忠孝東路5段468號,02-87868269,"平日 0800-2330
假日 0800-2330"
大東運門市(1.2.3樓),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=411,台北市士林區大東路11之6號,02-28835386,"平日 1200-0100
假日 1100-0100"
嘉藥門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=410,台南市仁德區二仁路一段161號、163號,06-2662681,"平日 0900-2230
假日 0900-2230"
福德門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=408,台北市信義區福德街280號,02-27590865,"平日 0900-2300
假日 0900-2300"
新汐樟門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=407,新北市汐止區樟樹一路132號,02-26904076,"平日 0900-2300
假日 0900-2300"
逢星門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=406,台中市西屯區福星路431.431-1號,04-24524278,"平日 1000-0100
假日 1000-0100"
潭子門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=405,台中市潭子區勝利路185號,04-25344038,"平日 0900-2300
假日 0900-2300"
權站門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=404,台北市中山區民權西路40 及40-1號,02-25221786,"平日 0800-2300
假日 0900-2300"
新遠板門市 (B1(295)),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=403,新北市板橋區中山路一段152號,02-29567290,"平日 1100-2200
假日 1100-2200"
大公益門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=402,台中市西區公益路128號,04-23217287,"平日 0900-2300
假日 0900-2300"
新和運,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=400,新北市中和區興南路一段55-1號,02-29435263,"平日 1000-2400
假日 1000-2400"
林口門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=399,新北市林口區文化三路一段327、329號,02-26005844,"平日 0800-2300
假日 0800-2300"
新斗六門市(1.2樓),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=398,雲林縣斗六市大同路32號,05-5374111,"平日 0900-2300
假日 0900-2330"
微風門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=397,台北市大安區復興南路一段125號1樓,02-27754585,"平日 0800-2300
假日(五.六) 0800-2400"
樹運門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=396,新北市樹林區博愛一街37號1樓,02-86755335,"平日0800-2300
假日0800-2300"
北斗門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=395,彰化縣北斗鎮中華路270 、274號,04-8872185,"平日0900-2200
假日0900-2200"
墾丁門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=394,屏東縣恆春鎮墾丁路165號,08-8861243,"平日1100-2430
假日1100-2430"
"大新竹門市(1,2,3樓)",https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=393,新竹市東區中正路19號,03-5249364,"平日0900-2230
假日0900-2230"
新衡運門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=392,台北市中正區衡陽路93號,02-23703393,"平日0800-2300
假日0800-2300"
新通運門市(B1),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=391,台北市中正區忠孝西路一段50-1號,02-23821673,"平日0800-2300
假日0800-2300"
新林園門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=389,高雄市林園區東林西路99號、101號,07-6417941,"平日 0900-2300
假日 0900-2300"
虎尾藥局,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=388,雲林縣虎尾鎮中正路258、258-1號,05-6328411,"平日0900-2300
假日0900-2300"
義冠門市(B1),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=387,高雄市大樹區學城路一段12號,07-6569516,"平日1100-2200
平日1000-2200"
新家專門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=385,台南市永康區中正路561、563號,06-2433956,"6/27-9/3暑假期間
營業時間調整為 0900-2300"
新新莊門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=384,新北市新莊區中正路164號1樓,02-29949247,"平日0800-2300
假日0800-2300"
廣三門市(廣三SOGO B1),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=383,台中市西區臺灣大道二段459號,04-23281605,"平日1100-2200
假日1030-2200"
板高門市(B1),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=381,新北市板橋區縣民大道2段7號,02-89697494,"平日0700-2300
假日0700-2300"
楓康門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=380,台中市大里區成功路171號,04-24954025,"平日0900-2300
假日0900-2300"
鹿港門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=379,彰化縣鹿港鎮民權路87號,04-7773091,"平日0900-2200
假日0900-2200"
童綜合門市(B1),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=378,台中市梧棲區台灣大道8段699號,04-26567160,"平日 0800-2200
W日 1000-1800"
頂盛門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=376,新北市新莊區民安西路135號1樓,02-22040804,"平日0930-2300
假日0930-2300"
新通化門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=375,台北市大安區通化街28號,02-27555276,"平日0900-2400
假日0900-2400"
新美都門市(B1),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=374,高雄市苓雅區三多四路21號,07-3383591,"平日  1100-2200
W5.6 1100-2230"
興昌門市,https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=373,台中市北屯區興安路一段289號,04-22472463,"平日0900-2300
假日0900-2300"
豐百門市(B1),https://www.cosmed.com.tw/Contact/Shop_intro.aspx?ID=372,台中市豐原區復興路2號,04-25254427,"平日1100-2200
假日1100-2200"
